class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,cap_color_group,gill_color_group,stalk_surface_consistent,stalk_color_consistent
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,m,warm,light,1,1
e,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g,light,dark,1,1
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g,light,light,1,1
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g,warm,dark,1,1
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,y,p,dark,light,0,1
e,rare,f,g,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,light,dark,1,1
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,s,m,warm,dark,1,1
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,warm,light,1,1
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,warm,light,1,1
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,light,dark,1,1
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,k,a,g,dark,dark,1,1
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,light,dark,1,1
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,n,s,g,warm,light,0,1
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g,warm,light,1,1
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,light,light,1,1
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,warm,light,1,1
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,light,light,1,1
e,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,warm,light,1,1
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,dark,light,0,1
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,warm,dark,1,1
e,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,warm,light,1,1
e,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,rare,v,d,light,dark,1,1
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,y,p,dark,light,0,1
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u,dark,light,1,1
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g,dark,dark,0,1
e,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,w,o,e,n,s,g,dark,dark,0,1
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,k,s,g,light,light,1,1
e,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,light,dark,1,1
e,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,s,g,light,dark,1,1
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g,warm,light,0,1
e,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,k,s,g,dark,dark,1,1
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,light,light,1,1
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,light,dark,1,1
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,dark,light,0,1
e,rare,f,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u,dark,dark,1,1
e,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,dark,dark,1,1
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,light,dark,1,1
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,warm,light,1,1
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,warm,light,1,1
e,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g,dark,dark,1,1
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,s,g,dark,light,0,1
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,warm,dark,1,1
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,light,light,1,1
e,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,w,o,e,k,s,g,dark,light,0,1
e,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,warm,dark,1,1
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,n,s,g,warm,light,0,1
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,w,o,p,k,y,p,warm,dark,0,1
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,light,light,1,1
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,warm,dark,1,1
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,n,y,g,warm,light,0,1
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,light,dark,1,1
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,light,light,1,1
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,m,warm,dark,1,1
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g,warm,light,1,1
e,rare,f,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u,light,light,1,1
e,x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,rare,v,d,light,light,1,1
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,warm,dark,1,1
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u,light,dark,1,1
e,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,s,g,warm,light,0,1
e,rare,f,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,y,u,light,light,1,1
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,warm,light,0,1
e,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,rare,v,d,warm,light,1,1
e,rare,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,y,u,dark,dark,1,1
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,g,light,dark,1,1
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,light,light,1,1
p,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g,dark,light,1,1
e,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g,light,dark,1,1
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,warm,light,1,1
e,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,w,o,e,k,s,g,light,dark,0,1
e,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g,warm,light,1,1
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,a,g,light,dark,1,1
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,light,dark,1,1
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,light,dark,1,1
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,m,light,light,1,1
e,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,rare,v,d,light,light,1,1
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,warm,light,1,1
e,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,light,light,1,1
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u,light,light,1,1
e,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,light,light,1,1
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,warm,dark,1,1
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,g,dark,light,1,1
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g,warm,light,1,1
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,dark,light,0,1
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,warm,light,1,1
e,rare,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,dark,dark,1,1
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,dark,light,0,1
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g,warm,dark,1,1
e,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,w,o,e,k,s,g,light,dark,1,1
e,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,w,o,e,n,a,g,light,dark,0,1
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,warm,light,1,1
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g,warm,dark,1,1
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,light,light,1,1
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,w,o,e,n,a,g,dark,light,0,1
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,rare,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,u,dark,dark,1,1
e,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,rare,v,d,light,light,1,1
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g,dark,light,0,1
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g,warm,dark,1,1
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g,light,dark,1,1
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,light,dark,1,1
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,warm,light,1,1
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,warm,light,1,1
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,warm,dark,1,1
e,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,y,u,dark,dark,1,1
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g,dark,dark,0,1
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,s,g,light,dark,1,1
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,n,y,p,warm,light,0,1
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,m,light,light,1,1
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,dark,light,0,1
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,light,dark,1,1
e,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u,light,light,1,1
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,s,g,warm,dark,1,1
e,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,rare,v,d,warm,dark,1,1
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,warm,light,1,1
e,f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,s,g,warm,light,0,1
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,n,m,light,light,1,1
e,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,m,light,dark,1,1
e,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,warm,light,1,1
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,warm,light,1,1
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,warm,light,1,1
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,light,light,1,1
e,rare,f,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u,dark,light,1,1
e,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u,dark,light,1,1
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,warm,light,1,1
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,dark,light,0,1
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,s,g,light,dark,1,1
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,light,light,1,1
e,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u,light,light,1,1
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,warm,light,1,1
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,n,y,p,dark,light,0,1
e,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,w,o,e,k,s,g,light,light,0,1
e,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,light,light,1,1
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,m,light,light,1,1
e,f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,warm,light,1,1
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,warm,dark,1,1
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u,light,light,1,1
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,warm,dark,1,1
e,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,light,light,1,1
e,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,light,dark,1,1
e,f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d,light,dark,1,1
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,warm,light,1,1
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,light,light,1,1
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,g,light,light,1,1
e,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,w,o,e,k,s,g,light,dark,0,1
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,k,y,p,dark,dark,0,1
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,light,dark,1,1
e,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,light,dark,1,1
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m,light,dark,1,1
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,light,dark,1,1
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g,light,light,1,1
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,warm,light,1,1
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,n,m,light,light,1,1
e,x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d,warm,dark,1,1
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,light,dark,1,1
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,w,o,p,n,s,g,warm,dark,0,1
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,light,dark,1,1
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,warm,light,1,1
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,warm,dark,1,1
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,rare,f,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,light,light,1,1
e,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m,light,dark,1,1
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,s,g,light,dark,1,1
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,w,o,p,n,s,g,warm,dark,0,1
e,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,light,light,1,1
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,light,light,1,1
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,light,dark,1,1
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,light,light,1,1
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,warm,light,1,1
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u,dark,light,1,1
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,warm,dark,1,1
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,k,y,u,light,dark,1,1
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,s,u,light,dark,1,1
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,n,y,p,warm,dark,0,1
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,u,dark,dark,1,1
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g,light,dark,1,1
e,x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,light,light,1,1
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,light,light,1,1
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,warm,dark,1,1
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,k,s,g,warm,dark,0,1
e,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,warm,light,0,1
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,warm,light,0,1
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,light,light,1,1
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,light,light,1,1
p,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u,light,dark,1,1
e,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,rare,v,d,light,light,1,1
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,light,light,1,1
e,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,rare,v,d,light,light,1,1
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,light,dark,1,1
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,warm,light,0,1
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,w,o,e,k,s,g,dark,light,0,1
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,n,y,g,warm,light,0,1
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,n,s,g,dark,light,1,1
e,rare,f,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,v,u,dark,light,1,1
e,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,s,m,warm,light,1,1
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,light,dark,1,1
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,light,dark,1,1
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,dark,dark,1,1
